
==Mordor==
 Cost	Name		Att	Def	Move	Abilities
  8	castle		-	-	0	AntiAir	
  2	fortification	0	1	0	-	
  8	tower		0	4	0	2-hit	
  3	orc		1	1	1	Infantry	
  5	urukhai		2	2	2	Infantry	
  7	troll		3	3	2	2 to transport	
  4	siegeTower	2	1	1	2 to transport / Supports Infantry	
 24	nazgul		4	3	3	Air / 2-hit	
  2	raft		0	1	1	Transports 1	
  8	trireme		2	2	2	Ship / Transports 1	
 16	battleship	4	4	2	Transports 3	
  -	spearInfantry	1	2	1	Infantry	
  -	wizard		4	4	2	-	


==Rohan==
 Cost	Name		Att	Def	Move	Abilities
  8	castle		-	-	0	AntiAir	
  2	fortification	0	1	0	-	
  8	tower		0	4	0	2-hit	
  3	spearInfantry	1	2	1	Infantry	
  4	lightCavalry	2	1	3	2 to transport	
  6	heavyCavalry	3	2	2	2 to transport / Supports Infantry	
  4	trebuchet	3	1	1	2 to transport / Supports Infantry	
  2	raft		0	1	1	Transports 1	
  5  	caravel		1	1	2	Transports 1	
  8	galleon		2	2	2	Transports 2	


==Goblins==
 Cost	Name		Att	Def	Move	Abilities
  8	castle		-	-	0	AntiAir	
  2	stabber		1	1	1	Infantry	
  2	shooter		0	2	1	Supports Infantry	
  4	catapult	2	1	1	Supports Infantry	
  5	warg		2	1	3	-	
  7	troll		3	3	2	2 to transport	
 22	balrog		5	3	4	Air / 2-hit	
  5	bat		2	1	4	Air	
  2	raft		0	1	1	Transports 1
  4	barge		2	1	1	Transports 5	


==Elves==
 Cost	Name		Att	Def	Move	Abilities
  8	castle		-	-	0	AntiAir	
  2	fortification	0	1	0	-	
  8	tower		0	4	0	2-hit	
  3	hobbit		0	2	1	Supports Infantry	
  4	hunter		2	3	2	Infantry	
  7	wizard		4	4	2	-	
  6	eagle		2	2	6	Air	
  8	griffin		3	3	4	Air	
  3	swanBoat	0	1	2	Transports 1	
  6	cutter		1	1	3	Transports 2	
 14	clipper		3	3	4	Transports 3	
  -	ent		3	3	1	-


==Haradrim==
 Cost	Name		Att	Def	Move	Abilities
  8	castle		-	-	0	AntiAir	
  2	fortification	0	1	0	-	
  8	tower		0	4	0	2-hit	
  3	spearInfantry	1	2	1	Infantry	
  4	corsair		3	1	1	Infantry		
 12	oliphant	3	2	2	2-hit / 2 to transport	
  4	trebuchet	3	1	1	2 to transport / Supports Infantry
  2	raft		0	1	1	Transports 1	
  5  	caravel		1	1	2	Transports 1	
  8	galleon		2	2	2	Transports 2	


==Gondor==
 Cost	Name		Att	Def	Move	Abilities
  8	castle		-	-	0	AntiAir	
  2	fortification	0	1	0	-	
  8	tower		0	4	0	2-hit	
  3	spearInfantry	1	2	1	Infantry
  5	towerGuard	2	3	1	Supports Infantry
  6	heavyCavalry	3	2	2	2 to transport / Supports Infantry	
  4	trebuchet	3	1	1	2 to transport / Supports Infantry	
  2	raft		0	1	1	Transports 1	
  5  	caravel		1	1	2	Transports 1	
  8	galleon		2	2	2	Transports 2	


==Neutral==
 Cost	Name		Att	Def	Move	Abilities
  -	castle		-	-	-	AntiAir	
  -	fortification	-	1	-	-	
  -	hobbit		-	2	-	Supports Infantry
  -	spearInfantry	-	2	-	Infantry
  -	axeInfantry	-	3	-	Infantry
  -	ent		-	3	-	-

